2026-09-06 22:38:06.368  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 47.148907, output would be 6.4826202
2026-09-06 22:38:07.388  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 14.168894, output would be 5.8920264
2026-09-06 22:38:08.406  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 38.054943, output would be 6.6102223
2026-09-06 22:38:09.735  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 14.330873, output would be 5.7692647
2026-09-06 22:38:10.750  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 29.192078, output would be 5.910545
2026-09-06 22:38:11.321  1879-4109  NotificationService     system_server                        E  Package enqueue rate is 5.0086436. Shedding 0|com.github.lonepheasantwarrior.talkify|2001|null|10209. package=com.github.lonepheasantwarrior.talkify
2026-09-06 22:38:12.072  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 11.404494, output would be 5.419623
2026-09-06 22:38:13.123  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 21.69917, output would be 6.0013027
2026-09-06 22:38:14.154  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 32.66947, output would be 5.0064173
2026-09-06 22:38:15.308  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 21.275246, output would be 6.151987
2026-09-06 22:38:17.726  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 8.921224, output would be 5.6821613
2026-09-06 22:38:18.762  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 32.072723, output would be 6.200641
2026-09-06 22:38:19.810  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 26.375393, output would be 6.3964725
2026-09-06 22:38:20.962  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 17.533293, output would be 5.20796
2026-09-06 22:38:22.139  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 22.129679, output would be 6.8629475
2026-09-06 22:38:24.195  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 10.251805, output would be 6.448234
2026-09-06 22:38:25.268  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 22.101812, output would be 6.225199
2026-09-06 22:38:26.295  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 32.41947, output would be 6.7576594
2026-09-06 22:38:27.565  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 18.481184, output would be 5.1108994
2026-09-06 22:38:29.106  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 11.13443, output would be 5.7494664
2026-09-06 22:38:30.131  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 29.111464, output would be 6.025636
2026-09-06 22:38:31.136  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 49.21878, output would be 5.481357
2026-09-06 22:38:32.143  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 28.722141, output would be 6.1895666
2026-09-06 22:38:33.266  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 33.144253, output would be 6.801687
2026-09-06 22:38:34.273  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 37.890015, output would be 5.0571814
2026-09-06 22:38:35.921  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 12.784247, output would be 6.0952783
2026-09-06 22:38:36.944  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 27.226229, output would be 6.2490644
2026-09-06 22:38:38.220  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 16.17022, output would be 5.6481633
2026-09-06 22:38:39.308  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 23.564198, output would be 5.7262435
2026-09-06 22:38:43.012  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 9.172134, output would be 6.203645
2026-09-06 22:38:46.957  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 8.806805, output would be 6.0935025
2026-09-06 22:38:48.442  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 13.782635, output would be 6.761232
2026-09-06 22:38:51.855  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 9.59377, output would be 6.0677533
2026-09-06 22:38:52.902  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 11.421895, output would be 5.4550657
2026-09-06 22:38:53.966  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 13.721036, output would be 6.2811522
2026-09-06 22:38:55.970  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 10.536518, output would be 6.209793
2026-09-06 22:38:57.245  9525-9562  NotificationManager     com...b.lonepheasantwarrior.talkify  W  Shedding notify (update) of NotificationKey[user=UserHandle{0}, pkg=com.github.lonepheasantwarrior.talkify, tag=null, id=2001], rate limit (5.0) exceeded: input 11.905772, output would be 5.3795776
